nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
5;inſtăbĭʹlĭty;L.;;;n.;52.0;120;instability
4;sŭblieutĕʹnănt;;;;n.;57.0;205;sublieutenant
2;taʹbles;;;;n.;8.0;209;tables
4;impūʹtătive;;;;a.;61.0;114;imputative
4;mĕtŏʹny̆my;;;;n.;65.0;139;metonyomy
2;ăſſīʹ_g_n;L.;;;v.;62.0;30;assign
4;tĕmpĕʹſtū_o_us;;;;a.;50.0;211;tempestuous
3;rĕſeaʹrchĭng;;;;n.;51.0;182;researching
3;ĕncĭʹrcle;;;;v.;73.0;80;encircle
3;căʹnŏpy;F.;;;n.;52.0;44;canopy
4;excĕʹption;F.;;;n.;68.0;84;exception
3;replĕʹvin;;;;n.;70.0;181;replevin
5;hŏſpĭtăʹlĭty;L.;;;n.;59.0;108;hospitality
2;ŭnpĭʹn;;;;v.;64.0;230;unpin
2;ſwĭʹng_e_ing;;;;a.;11.0;209;swingeing
1;treat;F.;;;v.;67.0;217;treat
1;fĭtz;;;;n.;22.0;89;fitz
3;vĕʹsĭcle;L.;;;n.;24.0;223;vesicle
2;ăʹnguĭſh;L.;;;n.;39.0;26;anguish
1;wheat;;;;n.;52.0;237;wheat
3;intĕrcĕʹpt;L.;;;v.;39.0;121;intercept
1;mĭſt;;;;n.;60.0;141;mist
1;dŭng;;;;n.;25.0;77;dung
1;cȯẇr;;;;v.;3.0;61;cowr
1;coo;;;;v.;14.0;59;coo
4;dĭvārĭcāte;;nbSyll>1 et pas d'accent tonic;;v.;12.0;74;divaricate
2;vĕʹrdănt;;;;a.;53.0;222;verdant
2;bethĭʹnk;;;;v.;73.0;36;bethink
3;crūʹcĭble;;;;n.;34.0;62;crucible
3;făʹctŏrage;;;;n.;16.0;87;factorage
2;lăʹmbĕnt;L.;;;a.;9.0;127;lambent
5;ŭnprepŏſſĕʹſſed;;;;a.;9.0;231;unprepossessed
2;_k_nāʹv_e_ry;;;;n.;27.0;126;knavery
1;brănch;F.;;;n.;35.0;40;branch
1;ſneer;;;;n.;63.0;197;sneer
2;ărraʹy;F.;;;n.;54.0;29;array
2;măʹrro_w_;;;;n.;47.0;136;marrow
5;legĭʹtĭmăcy;L.;;;n.;26.0;129;legitimacy
4;florāʹlĭā;;;;v.;28.0;90;floralia
1;lōbe;L.;;;n.;58.0;131;lobe
4;ăſſĭʹdū_o_us;L.;;;a.;61.0;30;assiduous
2;tīʹdy;;;;a.;35.0;214;tidy
3;ŭnrŭʹffled;;;;a.;59.0;231;unruffled
3;oxy̆crāte;;nbSyll>1 et pas d'accent tonic;;n.;8.0;155;oxyocrate
2;greeʹnwăx;;;;n.;33.0;101;greenwax
2;cŏʹm_e_ly;;;;a.;67.0;53;comely
4;ărch-chămbĕrlain;;nbSyll>1 et pas d'accent tonic;;n.;71.0;28;arch-chamberlain
3;alteʹrnative;;;;n.;58.0;24;alternative
1;trūce;;;;n.;25.0;219;truce
3;piăʹzzā;;;;n.;28.0;162;piazza
1;nĭt;;;;n.;63.0;147;nit
5;pĕrĭpătĕʹtic;G.;;;a.;29.0;160;peripatetic
1;chīld;;;;n.;21.0;49;child
1;trough (trof);;;Aide à la {pron}.;n.;18.0;219;trough trof
3;frauʹdūlent;L.;;;a.;23.0;93;fraudulent
3;nŏvĕʹmb_e_r;;;;n.;61.0;148;november
3;ăppĕrtaĭʹn;L.;;;v.;20.0;28;appertain
2;zeaʹlot;;;;n.;8.0;241;zealot
4;prōpĭʹti_o_us;L.;;;a.;19.0;171;propitious
3;fĭʹxĕdneſs;;;;n.;27.0;89;fixedness
3;weaʹrĭsŏme;;;;a.;2.0;237;wearisome
2;ſtoʹny;;;;n.;8.0;204;stony
2;exaʹlt;L.;;;v.;53.0;84;exalt
3;nauʹ_gh_tĭneſs;;;;n.;34.0;146;naughtiness
3;chăntĭcleeʹr;F.;;;n.;33.0;48;chanticleer
2;_h_ŏʹſtler;F.;;;n.;66.0;108;hostler
1;gĕm;;;;n.;11.0;97;gem
3;hăʹrlĕquin;;;;n.;29.0;104;harlequin
2;infoʹld;;;;v.;61.0;118;infold
4;revĭʹ_c_t_u_al;F.;;;v.;30.0;184;revictual
2;săʹlmon;;;;n.;33.0;188;salmon
1;blĕſs;;;;v.;28.0;38;bless
1;heave;;;;v.;34.0;105;heave
4;vĕrmĭcĕʹlli;L.;;;n.;68.0;222;vermicelli
2;grăʹbble;;;;v.;34.0;100;grabble
2;ſmaʹllage;;;;n.;23.0;197;smallage
3;bŭʹggĕry;F.;;;n.;3.0;42;buggery
4;habĭʹlĭment;;;;n.;5.0;103;habiliment
2;obsĕʹrve;L.;;;v.;21.0;150;observe
2;măʹdam;;;;n.;16.0;134;madam
4;legĕrdĕmaiʹn;;;;n.;20.0;129;legerdemain
1;cūbe;;;;n.;60.0;62;cube
3;procŏʹnſul;L.;;;a.;69.0;169;proconsul
3;ăʹrtĕry;G.;;;n.;67.0;29;artery
5;ŏbŭmbrāʹtion;L.;;;n.;43.0;150;obumbration
4;bĕnĕfăʹctor;L.;;;n.;27.0;36;benefactor
3;pŭrsūʹănce;;;;n.;42.0;173;pursuance
2;ăʹrchĕrs;;;;n.;4.0;29;archers
2;ăʹbbey;;;;n.;13.0;19;abbey
4;dŏmĭʹnĭcal;;;;n.;11.0;75;dominical
1;lŭrk;;;;v.;35.0;133;lurk
1;crōke;;;;v.;16.0;62;croke
2;tŭʹrbănt;;;;n.;9.0;220;turbant
3;meaʹgrĕneſs;F.;;;n.;71.0;137;meagreness
3;rēŏbtaiʹn;L.;;;v.;39.0;181;reobtain
1;mūſe;;;;v.;16.0;145;muse
2;thŏʹro_ugh_;;;;p.;53.0;213;thorough
3;prĕʹſby̆t_e_r;G.;;;n.;34.0;168;presbyoter
3;căʹlĕnd_a_r;L.;;;n.;50.0;43;calendar
2;faʹlchon;F.;;;n.;35.0;87;falchon
1;jăm_b_;;;;n.;19.0;110;jamb
3;propōʹſer;;;;n.;24.0;171;proposer
2;prŏʹphet;;;;n.;13.0;171;prophet
2;ſhȯʹẇer;;;;v.;11.0;194;shower
3;convĕʹrſant;L.;;;a.;66.0;58;conversant
3;exŏʹrcĭſt.;G.;;;n.;70.0;85;exorcist
3;trăʹgăcănth;G.;;;n.;45.0;216;tragacanth
2;ŭnſtrŭʹng;;;;a.;44.0;232;unstrung
3;mĭʹllĭon;F.;;;n.;35.0;140;million
3;mŭʹſcŭl_o_us;;;;a.;15.0;145;musculous
2;lēʹgate;L.;;;n.;15.0;129;legate
4;orbĭʹcūlar;;;;a.;55.0;152;orbicular
4;retaĭʹnable;;;;a.;55.0;183;retainable
2;improʹve;;;;v.;46.0;114;improve
4;otăʹlgĭā;G.;;;n.;42.0;153;otalgia
3;ĕʹlŏgy;L.;;;n.;51.0;79;elogy
3;ēʹvĕntīde;;;;n.;23.0;84;eventide
2;gooʹſbill;;;;n.;6.0;100;goosbill
3;căʹnĭbal;;;;n.;40.0;44;canibal
2;ſpŏʹtleſs;;;;a.;37.0;201;spotless
1;sănd;;;;n.;64.0;188;sand
1;ſtool;;;;n.;9.0;204;stool
4;cŏʹntūmacy;L.;;;n.;54.0;58;contumacy
1;wīre;;;;n.;5.0;239;wire
3;dīʹăphră_g_m;G.;;;n.;67.0;69;diaphragm
2;trănſgrĕʹſs;L.;;;v.;6.0;217;transgress
4;detĕʹntion;L.;;;n.;3.0;69;detention
4;dĭsĕntăʹngle;;;;v.;67.0;71;disentangle
2;sĭxteeʹn;;;;n.;67.0;195;sixteen
5;ſtĭmūlāʹtion;L.;;;n.;50.0;203;stimulation
4;dĭgrĕſſion;;nbSyll>1 et pas d'accent tonic;;n.;28.0;70;digression
6;erădĭcāʹtion;;;;n.;11.0;83;eradication
2;băʹniſh;F.;;;v.;54.0;33;banish
3;gĕʹnĕr_o_us;L.;;;a.;29.0;97;generous
2;ĕndūʹe;;;;v.;19.0;81;endue
2;neʹphĕw;F.;;;n.;11.0;147;nephew
4;vōcĭʹfĕr_o_us;L.;;;a.;64.0;233;vociferous
4;impĕʹrvĭ_o_us;L.;;;a.;59.0;113;impervious
1;thrīve;;;;v.;73.0;213;thrive
4;sŏllĭʹcĭtor;;;;n.;63.0;198;sollicitor
2;rĭʹddle;;;;n.;2.0;185;riddle
4;cŏmpĕʹtitor;L.;;;n.;73.0;54;competitor
3;tĕʹrrĭble;;;;a.;28.0;212;terrible
5;dĕſpĕrāʹtion;;;;n.;47.0;68;desperation
3;pĕʹdăgog_ue_;G.;;;n.;73.0;158;pedagogue
2;tŭʹſcan;;;;n.;30.0;220;tuscan
3;măʹnūal;L.;;;a.;70.0;135;manual
1;ăft;;;;p.;6.0;23;aft
2;ly̆ʹmphā;G.;;;n.;59.0;133;lyompha
2;ſcrĭʹbble;;;;v.;41.0;191;scribble
4;nātĭʹvĭty;L.;;;n.;25.0;146;nativity
3;ăgreeʹment;;;;n.;36.0;23;agreement
3;ŭntīʹm_e_ly;;;;a.;72.0;232;untimely
2;ſwăʹddle;;;;v.;50.0;208;swaddle
2;nŏʹrthĕrn;;;;a.;38.0;148;northern
1;gāre;;;;n.;36.0;96;gare
2;presūʹme;;;;v.;57.0;168;presume
1;cōde;F.;;;n.;55.0;52;code
5;ămbŭlaʹtion;L.;;;n.;21.0;25;ambulation
2;fōr_e_teʹll;;;;v.;12.0;92;foretell
3;ăgĭʹſtment;L.;;;n.;27.0;23;agistment
4;imprŏʹbable;L.;;;a.;37.0;114;improbable
3;jăʹcŏbītes;;;;n.;8.0;110;jacobites
2;tŭʹrbŏt;;;;n.;11.0;220;turbot
2;lĕʹmon;;;;n.;31.0;129;lemon
2;tȳʹro;L.;;;n.;71.0;220;tyro
3;incĕʹptive;;;;n.;24.0;115;inceptive
2;tăʹngle;;;;n.;45.0;210;tangle
3;sŭʹffrāgăn;;;;n.;39.0;206;suffragan
2;brĭʹttle;;;;a.;25.0;41;brittle
3;ŭnheeʹded;;;;a.;23.0;229;unheeded
2;ſcīʹĕnce;L.;;;n.;68.0;190;science
3;căc_h_eʹxy;G.;;;n.;13.0;43;cachexy
3;ŭnēʹqual;;;;a.;15.0;228;unequal
5;elŏngāʹtion;L.;;;n.;53.0;79;elongation
1;quip;;;;n.;13.0;175;quip
1;ſway;;;;n.;62.0;208;sway
1;trĭll;;;;n.;42.0;218;trill
5;intĕrmĕʹdĭum;L.;;;n.;71.0;121;intermedium
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22;advertise
3;văʹrĭ_o_us;L.;;;a.;55.0;221;various
1;ſplīce;;;;v.;23.0;201;splice
4;ănnīʹhĭlāte;L.;;;v.;54.0;26;annihilate
3;ŭndrīʹed;;;;a.;4.0;228;undried
3;lŏʹggĕrhead;;;;n.;9.0;132;loggerhead
3;ſtāʹgĭrīte;;;;n.;18.0;202;stagirite
1;_h_ȯu̇r;F.;;;n.;72.0;108;houor
2;ăʹngle;L.;;;n.;35.0;26;angle
1;hăſp;;;;n.;56.0;104;hasp
4;pătrĭăʹrc_h_āte;;;;n.;18.0;158;patriarchate
3;dĭsŏbeʹy;F.;;;v.;37.0;72;disobey
2;bētroʹth;;;;v.;7.0;37;betroth
2;rāʹkiſh;;;;a.;38.0;175;rakish
2;sŏʹfit;;;;n.;36.0;198;sofit
3;lĕʹthărgy;F.;;;n.;53.0;129;lethargy
2;prophāʹne;;;;n.;10.0;171;prophane
4;prē-ĕʹmĭnent;;;;a.;64.0;167;pre-eminent
5;sūpĕrĕʹmĭnent;;;;a.;11.0;207;supereminent
3;tympāʹnum;;;;n.;59.0;220;tympanum
3;ŭnpaiʹnted;;;;a.;52.0;230;unpainted
2;chĕʹrĭsh;F.;;;v.;8.0;49;cherish
2;nūʹdils;;;;n.;71.0;148;nudils
3;lauʹrėȧt;;;;n.;27.0;128;laureat
5;depūtāʹtion;F.;;;n.;9.0;68;deputation
2;woʹrmwood;;;;n.;64.0;239;wormwood
1;blĭʹſt_e_r;;;;n.;38.0;38;blister
2;flĭʹtting;;;;a.;20.0;90;flitting
1;ſoul;;;;n.;46.0;199;soul
2;lŏʹv_e_ly;;;;a.;49.0;132;lovely
4;conſtrĭʹction;L.;;;n.;57.0;57;constriction
4;hărpoʹcrătès;;;;n.;42.0;104;harpocrates
2;pŭʹlley;F.;;;n.;58.0;172;pulley
2;lĕʹntĭls;;;;n.;43.0;129;lentils
2;ſpĭʹrit;;;;v.;6.0;201;spirit
4;ĕfflorĕʹſcĕnce;;;;n.;55.0;78;efflorescence
1;glāze;;;;v.;62.0;98;glaze
3;ĕmbŏʹſſing;;;;n.;14.0;80;embossing
2;confīʹde;L.;;;v.;35.0;56;confide
2;wāʹf_e_r;;;;n.;8.0;235;wafer
1;ſpĕll;;;;n.;40.0;200;spell
2;оaʹk_e_n;;;;a.;5.0;149;oaken
3;opprĕʹſſor;;;;n.;33.0;152;oppressor
3;provīʹſo;;;;n.;5.0;172;proviso
3;tĕnĕʹbr_o_us;L.;;;a.;72.0;211;tenebrous
2;vĭʹllā;L.;;;n.;3.0;224;villa
3;rīʹ_gh_te_o_us;;;;a.;18.0;185;righteous
3;cŏʹnſtĭpāte;L.;;;v.;51.0;57;constipate
2;ăbāsʹe;F.;;;v.;7.0;19;abase
